locus_tag	operonID	gene
b0001	operon_0001	thrL
b0002	operon_0002	thrA
b0003	operon_0002	thrB
b0004	operon_0002	thrC
b0005	operon_0003	yaaX
b0006	operon_0004	yaaA
b0007	operon_0004	yaaJ
b0008	operon_0005	talB
b0009	operon_0006	mog
b0010	operon_0007	satP
b0011	operon_0007	yaaW
b0013	operon_0007	yaaI
b0014	operon_0008	dnaK
b0015	operon_0009	dnaJ
b0016	operon_0009	insL1
b4412	operon_0010	hokC
b0018	operon_0010	mokC
b4413	operon_0011	sokC
b0019	operon_0012	nhaA
b0020	operon_0013	nhaR
b0022	operon_0014	insA
b0023	operon_0015	rpsT
b0024	operon_0016	yaaY
b0025	operon_0016	ribF
b0026	operon_0016	ileS
b0027	operon_0016	lspA
b0028	operon_0017	fkpB
b0029	operon_0017	ispH
b0030	operon_0018	rihC
b0031	operon_0019	dapB
b0032	operon_0020	carA
b0033	operon_0020	carB
b0034	operon_0021	caiF
b0035	operon_0022	caiE
b0036	operon_0022	caiD
b0037	operon_0022	caiC
b0038	operon_0022	caiB
b0039	operon_0023	caiA
b0040	operon_0023	caiT
b0041	operon_0024	fixA
b0042	operon_0024	fixB
b0043	operon_0024	fixC
b0044	operon_0024	fixX
b0045	operon_0024	yaaU
b0046	operon_0024	kefF
b0047	operon_0024	kefC
b0048	operon_0025	folA
b0049	operon_0026	apaH
b0050	operon_0026	apaG
b0051	operon_0026	rsmA
b0052	operon_0026	pdxA
b0053	operon_0026	surA
b0054	operon_0027	lptD
b0055	operon_0028	djlA
b4659	operon_0029	yabP
b0058	operon_0030	rluA
b0059	operon_0030	rapA
b0060	operon_0031	polB
b0061	operon_0032	araD
b0062	operon_0033	araA
b0063	operon_0033	araB
b0064	operon_0034	araC
b0065	operon_0034	yabI
b0066	operon_0035	thiQ
b0067	operon_0035	thiP
b0068	operon_0035	thiB
b0069	operon_0036	sgrR
b4577	operon_0037	sgrS
b4662	operon_0037	sgrT
b0070	operon_0038	setA
b0071	operon_0039	leuD
b0072	operon_0039	leuC
b0073	operon_0039	leuB
b0074	operon_0039	leuA
b0075	operon_0040	leuL
b0076	operon_0041	leuO
b0077	operon_0042	ilvI
b0078	operon_0042	ilvH
b0080	operon_0043	cra
b0081	operon_0044	mraZ
b0082	operon_0044	rsmH
b0083	operon_0044	ftsL
b0084	operon_0044	ftsI
b0085	operon_0044	murE
b0086	operon_0044	murF
b0087	operon_0044	mraY
b0088	operon_0044	murD
b0089	operon_0044	ftsW
b0090	operon_0044	murG
b0091	operon_0044	murC
b0092	operon_0044	ddlB
b0093	operon_0044	ftsQ
b0094	operon_0044	ftsA
b0095	operon_0044	ftsZ
b0096	operon_0044	lpxC
b0097	operon_0045	secM
b0098	operon_0045	secA
b0099	operon_0046	mutT
b0101	operon_0047	yacG
b0102	operon_0047	zapD
b0103	operon_0047	coaE
b0104	operon_0048	guaC
b0106	operon_0049	hofC
b0107	operon_0049	hofB
b0108	operon_0049	ppdD
b0109	operon_0050	nadC
b0110	operon_0051	ampD
b0111	operon_0051	ampE
b0112	operon_0052	aroP
b0113	operon_0053	pdhR
b0114	operon_0054	aceE
b0115	operon_0054	aceF
b0116	operon_0055	lpd
b0117	operon_0056	yacH
b0118	operon_0057	acnB
b0119	operon_0058	yacL
b0120	operon_0059	speD
b0121	operon_0059	speE
b0122	operon_0060	yacC
b0123	operon_0061	cueO
b0124	operon_0062	gcd
b0125	operon_0063	hpt
b0126	operon_0064	can
b0127	operon_0065	yadG
b0128	operon_0065	yadH
b0129	operon_0066	yadI
b0130	operon_0066	yadE
b0131	operon_0067	panD
b0132	operon_0068	yadD
b0133	operon_0069	panC
b0134	operon_0069	panB
b0135	operon_0069	yadC
b0136	operon_0069	yadK
b0137	operon_0069	yadL
b0138	operon_0069	yadM
b0139	operon_0069	htrE
b0140	operon_0069	yadV
b0141	operon_0069	yadN
b0142	operon_0070	folK
b0143	operon_0070	pcnB
b0144	operon_0070	gluQ
b0145	operon_0071	dksA
b0146	operon_0072	sfsA
b0147	operon_0072	ligT
b0148	operon_0073	hrpB
b0149	operon_0074	mrcB
b0150	operon_0075	fhuA
b0151	operon_0076	fhuC
b0152	operon_0076	fhuD
b0153	operon_0076	fhuB
b0154	operon_0077	hemL
b0155	operon_0078	clcA
b0156	operon_0078	erpA
b0157	operon_0079	yadS
b0158	operon_0079	btuF
b0159	operon_0079	mtn
b0160	operon_0080	dgt
b0161	operon_0080	degP
b0162	operon_0081	cdaR
b0163	operon_0082	yaeH
b0164	operon_0083	yaeI
b0166	operon_0084	dapD
b0167	operon_0084	glnD
b0168	operon_0085	map
b4414	operon_0086	tff
b0169	operon_0086	rpsB
b0170	operon_0087	tsf
b0171	operon_0088	pyrH
b0172	operon_0089	frr
b0173	operon_0090	dxr
b0174	operon_0091	ispU
b0175	operon_0091	cdsA
b0176	operon_0091	rseP
b0177	operon_0091	bamA
b0178	operon_0091	skp
b0179	operon_0091	lpxD
b0180	operon_0092	fabZ
b0181	operon_0092	lpxA
b0182	operon_0092	lpxB
b0183	operon_0092	rnhB
b0184	operon_0092	dnaE
b0185	operon_0092	accA
b0186	operon_0093	ldcC
b0187	operon_0093	yaeR
b0188	operon_0094	tilS
b0189	operon_0095	rof
b4406	operon_0095	yaeP
b0190	operon_0096	yaeQ
b0191	operon_0096	arfB
b0192	operon_0096	nlpE
b0193	operon_0097	yaeF
b0194	operon_0098	proS
b0195	operon_0099	tsaA
b0196	operon_0099	rcsF
b0197	operon_0100	metQ
b0198	operon_0100	metI
b0199	operon_0100	metN
b0200	operon_0101	gmhB
b0201	operon_0102	rrsH
b0202	operon_0102	ileV
b0203	operon_0102	alaV
b0204	operon_0103	rrlH
b0205	operon_0103	rrfH
b0206	operon_0103	aspU
b0207	operon_0104	dkgB
b0208	operon_0105	yafC
b0209	operon_0106	yafD
b0210	operon_0106	yafE
b0211	operon_0107	mltD
b0212	operon_0107	gloB
b0213	operon_0108	yafS
b0214	operon_0109	rnhA
b0215	operon_0110	dnaQ
b0216	operon_0111	aspV
b0217	operon_0112	yafT
b4586	operon_0113	ykfM
b0218	operon_0113	yafU
b4503	operon_0114	yafF
b0219	operon_0115	yafV
b0220	operon_0116	ivy
b0221	operon_0117	fadE
b0222	operon_0118	gmhA
b0223	operon_0119	yafJ
b0224	operon_0120	yafK
b0225	operon_0121	yafQ
b0226	operon_0121	dinJ
b0227	operon_0122	yafL
b0228	operon_0123	rayT
b0229	operon_0124	lfhA
b0230	operon_0125	lafU
b0231	operon_0125	dinB
b0232	operon_0125	yafN
b0233	operon_0125	yafO
b0234	operon_0125	yafP
b0235	operon_0126	ykfJ
b0236	operon_0126	prfH
b0237	operon_0127	pepD
b0238	operon_0128	gpt
b0239	operon_0129	frsA
b0240	operon_0130	crl
b0241	operon_0131	phoE
b0242	operon_0132	proB
b0243	operon_0132	proA
b0244	operon_0133	thrW
b4626	operon_0134	ykfN
b0245	operon_0135	ykfI
b0246	operon_0135	yafW
b4504	operon_0135	ykfH
b0247	operon_0135	ykfG
b0248	operon_0135	yafX
b0249	operon_0136	ykfF
b0250	operon_0137	ykfB
b0251	operon_0137	yafY
b4627	operon_0137	ykfL
b4628	operon_0137	ykfK
b0252	operon_0138	yafZ
b0253	operon_0139	ykfA
b0254	operon_0140	perR
b4587	operon_0141	insN
b4690	operon_0142	eyeA
b0258	operon_0143	ykfC
b0260	operon_0144	mmuP
b0261	operon_0144	mmuM
b0262	operon_0145	afuC
b0263	operon_0145	afuB
b0264	operon_0145	insB1
b4505	operon_0146	insX
b0266	operon_0146	yagB
b0267	operon_0146	yagA
b0268	operon_0147	yagE
b0269	operon_0147	yagF
b0270	operon_0148	yagG
b0271	operon_0148	yagH
b0272	operon_0149	yagI
b0273	operon_0149	argF
b4688	operon_0150	ykgS
b0276	operon_0151	yagJ
b0277	operon_0152	yagK
b0278	operon_0153	yagL
b0279	operon_0153	yagM
b0280	operon_0154	yagN
